iter,objective
267,-0.1489351877466411
268,-0.1489387311966517
269,-0.1489422677597838
270,-0.14894579747516157
271,-0.1489493203815564
272,-0.14895283651738664
273,-0.14895634592071774
274,-0.14895984862926254
275,-0.14896334468038225
276,-0.148966834111088
277,-0.14897031695804291
278,-0.14897379325756469
279,-0.1489772630456291
280,-0.14898072635787377
281,-0.1489841832296025
282,-0.14898763369578985
283,-0.1489910777910865
284,-0.14899451554982415
285,-0.14899794700602134
286,-0.1490013721933885
287,-0.1490047911453337
288,-0.14900820389496794
289,-0.1490116104751103
290,-0.1490150109182928
291,-0.14901840525676507
292,-0.14902179352249875
293,-0.14902517574719146
294,-0.14902855196227036
295,-0.14903192219889563
296,-0.14903528648796324
297,-0.1490386448601078
298,-0.14904199734570514
299,-0.14904534397487462
300,-0.14904868477748115
301,-0.1490520197831378
302,-0.14905534902120768
303,-0.14905867252080632
304,-0.14906199031080422
305,-0.14906530241982924
306,-0.1490686088762691
307,-0.14907190970827416
308,-0.14907520494375995
309,-0.1490784946104104
310,-0.14908177873568004
311,-0.14908505734679744
312,-0.1490883304707677
313,-0.14909159813437534
314,-0.14909486036418698
315,-0.14909811718655455
316,-0.14910136862761744
317,-0.14910461471330527
318,-0.14910785546934074
319,-0.14911109092124167
320,-0.14911432109432352
321,-0.14911754601370195
322,-0.14912076570429475
323,-0.14912398019082407
324,-0.14912718949781856
325,-0.14913039364961533
326,-0.14913359267036214
327,-0.14913678658401897
328,-0.14913997541436025
329,-0.14914315918497656
330,-0.14914633791927667
331,-0.1491495116404892
332,-0.14915268037166457
333,-0.14915584413567684
334,-0.14915900295522558
335,-0.14916215685283768
336,-0.14916530585086918
337,-0.14916844997150716
338,-0.14917158923677132
339,-0.14917472366851625
340,-0.14917785328843275
341,-0.1491809781180498
342,-0.1491840981787363
343,-0.14918721349170275
344,-0.1491903240780029
345,-0.1491934299585354
346,-0.14919653115404555
347,-0.1491996276851267
348,-0.14920271957222203
349,-0.14920580683562587
350,-0.14920888949548525
351,-0.14921196757180166
352,-0.14921504108443215
353,-0.14921811005309085
354,-0.1492211744973506
355,-0.149224234436644
356,-0.14922728989026524
357,-0.14923034087737094
358,-0.14923338741698186
359,-0.14923642952798424
360,-0.14923946722913076
361,-0.1492425005390423
362,-0.14924552947620895
363,-0.14924855405899137
364,-0.14925157430562205
365,-0.1492545902342066
366,-0.14925760186272485
367,-0.14926060920903228
368,-0.14926361229086121
369,-0.14926661112582176
370,-0.14926960573140327
371,-0.1492725961249753
372,-0.14927558232378904
373,-0.1492785643449782
374,-0.1492815422055601
375,-0.149284515922437
376,-0.14928748551239707
377,-0.14929045099211533
378,-0.14929341237815508
379,-0.14929636968696844
380,-0.14929932293489792
381,-0.1493022721381769
382,-0.1493052173129312
383,-0.14930815847517964
384,-0.1493110956408352
385,-0.1493140288257059
386,-0.14931695804549597
387,-0.1493198833158066
388,-0.14932280465213696
389,-0.14932572206988512
390,-0.14932863558434897
391,-0.14933154521072708
392,-0.1493344509641198
393,-0.14933735285952973
394,-0.14934025091186323
395,-0.14934314513593064
396,-0.14934603554644751
397,-0.14934892215803544
398,-0.14935180498522282
399,-0.14935468404244565
400,-0.1493575593440484
